date,code,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2015-10-19,sh.600519,162.5159854200,162.5159854200,160.1052867000,160.7555409600,2612145,531101872.0000,0.207941,0.986300,2
2015-10-20,sh.600519,160.2004458600,160.8824198400,159.5343317400,160.1607962100,1478429,298284288.0000,0.117691,-0.370000,2
2015-10-21,sh.600519,160.2480254400,160.6207321500,156.2275509300,158.8444278300,2234914,447195040.0000,0.177911,-0.821900,2
2015-10-22,sh.600519,158.7889183200,160.7634708900,158.1465939900,160.6048722900,2372030,478632752.0000,0.188826,1.108300,2
2015-10-23,sh.600519,163.1979594000,172.5552768000,162.9997111500,167.3056631400,5627734,1189746960.0000,0.447997,4.172200,2
2015-10-26,sh.600519,168.1145160000,173.1103719000,164.9425440000,172.6583658900,4334626,932490832.0000,0.345059,3.199400,2
2015-10-27,sh.600519,172.1587803000,172.6187162400,168.5744519400,170.6917432500,2257279,484597008.0000,0.179691,-1.139000,2
2015-10-28,sh.600519,170.4855650700,170.4855650700,168.0352167000,168.4634329200,1655922,353020512.0000,0.131820,-1.305500,2
2015-10-29,sh.600519,168.1145160000,170.3269664700,168.1145160000,168.9075090000,1345435,287688320.0000,0.107104,0.263600,2
2015-10-30,sh.600519,168.8678593500,171.1278894000,168.2096751600,169.5894829800,1225791,263117287.0000,0.097579,0.403800,2
2015-11-02,sh.600519,170.1762978000,171.1754689800,168.5110125000,168.5585920800,1529820,328246688.0000,0.121782,-0.607900,2
2015-11-03,sh.600519,168.8440695600,171.0961696800,165.2597412000,166.2985620300,2317329,493565248.0000,0.184472,-1.340800,2
2015-11-04,sh.600519,166.9884659400,171.2864880000,166.6157592300,170.4776351400,3080972,659118992.0000,0.245262,2.513000,2
2015-11-05,sh.600519,170.1762978000,177.0594770400,169.3040055000,171.7305640800,4998258,1087812240.0000,0.397888,0.735000,2
2015-11-06,sh.600519,172.3570285500,173.3482698000,170.9375710800,173.2055310600,2169571,471929424.0000,0.172709,0.858900,2
2015-11-09,sh.600519,176.0444460000,178.1538073800,173.6654670000,175.1166441900,4052729,900398640.0000,0.322619,1.103400,2
2015-11-10,sh.600519,174.4584600000,177.7255911600,173.7923458800,176.3457833400,2872976,639416128.0000,0.228704,0.701900,2
2015-11-11,sh.600519,176.0523759300,176.8374390000,173.3482698000,174.5774089500,2381550,524296320.0000,0.189584,-1.002800,2
2015-11-12,sh.600519,174.6408483900,176.8374390000,173.9668043400,174.4663899300,1618085,357408912.0000,0.128808,-0.063600,2
2015-11-13,sh.600519,172.9517733000,174.0619635000,170.3586861900,170.5807242300,2839718,614644800.0000,0.226057,-2.227200,2
2015-11-16,sh.600519,168.5110125000,171.6829845000,168.1145160000,169.5260435400,2391670,511461328.0000,0.190390,-0.618300,2
2015-11-17,sh.600519,170.2714569600,172.4759775000,169.0185280200,169.9859794800,2198635,473813952.0000,0.175023,0.271300,2
